# tiempo  P_exp  P_teo
0.002 0 11.4779
2.002 5.98669 11.4779
4.002 6.03431 11.4779
6.002 5.06824 11.4779
8.002 5.99958 11.4779
10.002 5.66816 11.4779
12.002 5.47055 11.4779
14.002 6.27749 11.4779
16.002 5.23497 11.4779
18.002 6.48292 11.4779
20.002 5.41029 11.4779
22.002 5.69419 11.4779
24.002 5.98122 11.4779
26.002 5.73138 11.4779
28.002 4.9533 11.4779
30.002 6.23585 11.4779
32.002 6.13567 11.4779
34.002 5.66762 11.4779
36.002 5.99818 11.4779
38.002 5.81129 11.4779
40.002 4.98113 11.4779
42.002 6.02504 11.4779
44.002 5.62366 11.4779
46.002 5.70731 11.4779
48.002 5.87864 11.4779
50.002 5.4771 11.4779
52.002 5.97421 11.4779
54.002 6.09505 11.4779
56.002 5.73228 11.4779
58.002 5.20813 11.4779
60.002 6.06541 11.4779
62.002 6.03864 11.4779
64.002 5.63357 11.4779
66.002 5.34579 11.4779
68.002 6.21641 11.4779
70.002 5.26411 11.4779
72.002 6.02631 11.4779
74.002 5.70446 11.4779
76.002 5.84693 11.4779
78.002 5.03045 11.4779
80.002 6.22958 11.4779
82.002 6.0636 11.4779
84.002 5.71146 11.4779
86.002 5.30002 11.4779
88.002 6.10553 11.4779
90.002 5.40644 11.4779
92.002 6.33885 11.4779
94.002 5.46195 11.4779
96.002 5.96882 11.4779
98.002 5.51781 11.4779
